Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Allow decimals,Display precision,_version:1,_order:1,Data class,Data type,Answers
d3dbb8b4-0e52-4f27-97fb-1f2ba1f3d356,,Date of Birth,D.O.B,,,,,,,,,Question,Date,
3490bca8-9645-426f-9c8d-afe7139e90f2,,Date First Seen,,,,,,,,,,Question,Date,
3130e413-68c5-4674-b78a-6c69867f1188,,Mother's Full Names,,,,,,,,,,Question,Text,
4011083f-4357-4556-8ab1-55ecd8fcc8aa,,Father's Full Names,,,,,,,,,,Question,Text,
c98b9b9e-28af-439b-b1bb-8e376dd531b9,,Bacillus Calmette–Guérin,B.C.G,,,,,,,,,Question,Date,
3af346e1-c15c-481c-a242-592dbd183102,,Revaccination,,,,,,,,,,Question,Boolean,
db15faa1-2476-4f7d-96b9-d6add4841d77,,Polio Birth Dose,,,,,,,,,,Question,Date,
2c83acd2-77a3-40ef-af49-f4801a5b515c,,1st Polio,,,,,,,,,,Question,Date,
492f417f-0928-4f9c-ac3f-20f59463dbf9,,2nd Polio,,,,,,,,,,Question,Date,
a9222759-c39b-4d65-b7e2-a2de91630b63,,3rd Polio,,,,,,,,,,Question,Date,
9a53d679-cba7-4ce1-931d-663e1bb7c79d,,Diptheria Tetanus Pertussis / Hepatitis B / Hib.1,DPT/Hep.B./Hib.1,,,,,,,,,Question,Date,
56b5b18a-5ea4-441b-861c-5b73be0ea2e0,,Diptheria Tetanus Pertussis / Hepatitis B / Hib.2,DPT/Hep.B./Hib.2,,,,,,,,,Question,Date,
c05ed460-ea8f-4ee5-8b6e-ba1377ab1d22,,Diptheria Tetanus Pertussis / Hepatitis B / Hib.3,DPT/Hep.B./Hib.3,,,,,,,,,Question,Date,
df7bea3d-c0da-4c4a-8273-38a48ba8265d,,Measles Vaccination,Measles,,,,,,,,,Question,Date,
c836a3ab-1af7-4e48-a107-1ed48a585bbd,,Yellow Fever,,,,,,,,,,Question,Date,
3e8f5e23-5295-4e15-b6ab-ac2db6e217b9,,Vitamin A,,,,,,,,,,Question,Date,
aea98338-5db2-42a4-b6f2-7deb68941b8e,,Fully Immunised,,,,,,,,,,Question,Boolean,
404f0d72-8c24-48c2-a6eb-8120fe584a08,,Postnatal Examination Remarks,Remarks,,,,,,,,,Misc,Text,
1ca75b76-c534-4c1c-9cf2-cc80458bf9bc,,Postnatal Examination Form,,,,,,,,,,Misc,N/A,
